Sr No ,Recipe Name,Ingredients,Veg/Non_Veg,Procedure,No of people,Cook Time
86,Cabbage Pulao,"Rice, Cabbage, Tomato, Onion, Garlic, Ginger, Green Chilies, Cumin Seeds, Bay Leaves, Cardamom, Cinnamon, Cloves, Turmeric, Coriander Leaves, Salt, Oil",Veg,"Sauté onions, garlic, ginger, and spices. Add cabbage, tomatoes, rice, and cook until rice is done.",3,35 mins
87,Coconut Brinjal Rice,"Rice, Brinjal, Coconut, Tomato, Onion, Garlic, Ginger, Green Chilies, Curry Leaves, Mustard Seeds, Cumin Seeds, Turmeric, Salt, Oil",Veg,"Sauté onions, garlic, ginger, and spices. Add brinjal, coconut, cooked rice, and mix well.",4,40 mins
88,Dhokla,"Gram Flour (Besan), Semolina (Rava), Yogurt, Green Chilies, Ginger, Turmeric, Lemon Juice, Mustard Seeds, Curry Leaves, Fresh Coriander Leaves, Salt, Sugar, Baking Soda, Oil",Veg,"Prepare a batter with gram flour, semolina, yogurt, green chilies, ginger, turmeric, salt, and sugar. Ferment, steam, and temper with mustard seeds, curry leaves, and lemon juice.",4,30 mins
89,Undhiyu,"Potatoes, Sweet Potatoes, Brinjal, Green Beans, Peas, Banana, Surati Papdi, Fresh Coconut, Ginger, Garlic, Green Chilies, Cilantro, Coriander Powder, Cumin Powder, Turmeric, Garam Masala, Salt, Oil",Veg,"Mix vegetables with spices. Cook with fresh coconut and temper with garlic, ginger, and green chilies.",6,45 mins
90,Gujarati Kadhi,"Yogurt, Gram Flour (Besan), Ginger, Green Chilies, Curry Leaves, Mustard Seeds, Cumin Seeds, Fenugreek Seeds, Asafoetida (Hing), Turmeric, Jaggery, Salt, Oil",Veg,"Prepare a mixture of yogurt, gram flour, ginger, green chilies, and spices. Cook until thickened and temper with mustard seeds, curry leaves, and asafoetida.",4,25 mins
91,Thepla,"Whole Wheat Flour, Fenugreek Leaves (Methi), Yogurt, Green Chilies, Ginger, Turmeric, Cumin Seeds, Coriander Leaves, Salt, Oil",Veg,"Knead dough with wheat flour, fenugreek leaves, yogurt, green chilies, ginger, turmeric, and spices. Roll out, cook on a griddle with oil.",3,20 mins
92,Khandvi,"Gram Flour (Besan), Yogurt, Ginger, Green Chilies, Turmeric, Mustard Seeds, Asafoetida (Hing), Curry Leaves, Fresh Coriander Leaves, Grated Coconut, Oil",Veg,"Cook gram flour and yogurt mixture until thickened, spread thin layers, roll, and cut. Temper with mustard seeds, asafoetida, and curry leaves.",5,40 mins
93,Handvo,"Rice, Lentils (Tuvar Dal), Yogurt, Bottle Gourd (Lauki), Fenugreek Leaves (Methi), Green Chilies, Ginger, Turmeric, Mustard Seeds, Sesame Seeds, Asafoetida (Hing), Baking Soda, Salt, Oil",Veg,"Soak rice and lentils, blend with yogurt, ferment, mix with grated bottle gourd, fenugreek leaves, and spices. Bake until cooked.",6,50 mins
94,Fish Tacos,"Fish Fillets, Flour Tortillas, Cabbage, Tomato, Onion, Avocado, Lime Juice, Cilantro, Garlic, Cumin, Chili Powder, Salt, Oil",Non_veg,"Grill fish fillets, assemble tacos with shredded cabbage, diced tomatoes, onions, avocado, lime juice, and cilantro.",3,30 mins
95,Pork Ribs,"Pork Ribs, Barbecue Sauce, Brown Sugar, Paprika, Garlic Powder, Onion Powder, Salt, Pepper",Non_veg,"Rub pork ribs with a mixture of brown sugar, paprika, garlic powder, onion powder, salt, and pepper. Bake or grill until tender, basting with barbecue sauce.",3,120 mins
96,Beef Kebabs,"Ground Beef, Onion, Garlic, Ginger, Cilantro, Coriander Powder, Cumin Powder, Paprika, Chili Powder, Salt, Oil",Non_veg,"Mix ground beef with finely chopped onions, garlic, ginger, and spices. Shape into kebabs and grill until cooked.",4,25 mins
97,Lamb Biryani,"Lamb, Basmati Rice, Onion, Tomato, Garlic, Ginger, Yogurt, Garam Masala, Coriander Powder, Cumin Powder, Turmeric, Saffron, Bay Leaves, Mint Leaves, Salt, Oil",Non_veg,"Marinate lamb in yogurt and spices. Layer with partially cooked rice, saffron, and mint leaves. Cook until rice and lamb are done.",5,50 mins
98,Spicy Chicken Wings,"Chicken Wings, Hot Sauce, Butter, Garlic Powder, Onion Powder, Paprika, Salt, Pepper",Non_veg,"Marinate chicken wings in hot sauce, butter, and spices. Bake or fry until crispy.",4,40 mins
99,Grilled Salmon,"Salmon Fillets, Lemon Juice, Olive Oil, Garlic, Dill, Salt, Pepper",Non_veg,"Marinate salmon fillets in lemon juice, olive oil, minced garlic, chopped dill, salt, and pepper. Grill until cooked through.",2,15 mins
100,Honey Glazed Ham,"Ham, Honey, Brown Sugar, Dijon Mustard, Apple Cider Vinegar, Cloves, Salt, Pepper",Non_veg,"Mix honey, brown sugar, Dijon mustard, apple cider vinegar, cloves, salt, and pepper. Brush over ham and bake until caramelized.",6,120 mins
